url_from,url_to
https://reatapharma.com/about-us/our-story/,http://reatapharma.wpengine.com/
https://reatapharma.com/about-us/our-story/,https://reatapharma.com/about-us/our-story/
https://reatapharma.com/about-us/our-story/,https://reatapharma.com/about-us/leadership/
https://reatapharma.com/about-us/our-story/,https://reatapharma.com/about-us/board-of-directors/
https://reatapharma.com/about-us/our-story/,https://reatapharma.com/our-science/nrf2-activators/
https://reatapharma.com/about-us/our-story/,https://reatapharma.com/our-science/rta-901/
https://reatapharma.com/about-us/our-story/,https://reatapharma.com/our-science/rta-1701/
https://reatapharma.com/about-us/our-story/,https://reatapharma.com/our-science/in-licensing/
https://reatapharma.com/about-us/our-story/,https://reatapharma.com/programs/
https://reatapharma.com/about-us/our-story/,https://reatapharma.com/programs/kidney-diseases/
https://reatapharma.com/about-us/our-story/,https://reatapharma.com/programs/friedreichs-ataxia/
https://reatapharma.com/about-us/our-story/,https://reatapharma.com/programs/ctd-pah/
https://reatapharma.com/about-us/our-story/,https://reatapharma.com/patients/
https://reatapharma.com/about-us/our-story/,https://reatapharma.gcs-web.com/
https://reatapharma.com/about-us/our-story/,https://reatapharma.com/investors-news/events-presentations/
https://reatapharma.com/about-us/our-story/,https://reatapharma.gcs-web.com/events-and-presentations/upcoming-events
https://reatapharma.com/about-us/our-story/,https://reatapharma.gcs-web.com/news-releases
https://reatapharma.com/investors-news/social-media-disclosure/,http://reatapharma.wpengine.com/
https://reatapharma.com/about-us/our-story/,https://reatapharma.com/investors-news/social-media-disclosure/
https://reatapharma.com/about-us/our-story/,https://reatapharma.gcs-web.com/financial-information/sec-filings
https://reatapharma.com/about-us/our-story/,http://www.proxydocs.com/RETA
https://reatapharma.com/about-us/our-story/,https://reatapharma.gcs-web.com/financial-information/quarterly-results
https://reatapharma.com/about-us/our-story/,https://reatapharma.gcs-web.com/corporate-governance
https://reatapharma.com/about-us/our-story/,https://reatapharma.gcs-web.com/corporate-governance/committee-composition
https://reatapharma.com/about-us/our-story/,https://reatapharma.gcs-web.com/corporate-governance/contact-the-board
https://reatapharma.com/investors-news/social-media-disclosure/,https://reatapharma.com/about-us/our-story/
https://reatapharma.com/investors-news/social-media-disclosure/,https://reatapharma.com/about-us/leadership/
https://reatapharma.com/investors-news/social-media-disclosure/,https://reatapharma.com/about-us/board-of-directors/
https://reatapharma.com/investors-news/social-media-disclosure/,https://reatapharma.com/our-science/nrf2-activators/
https://reatapharma.com/investors-news/social-media-disclosure/,https://reatapharma.com/our-science/rta-901/
https://reatapharma.com/investors-news/social-media-disclosure/,https://reatapharma.com/our-science/rta-1701/
https://reatapharma.com/investors-news/social-media-disclosure/,https://reatapharma.com/our-science/in-licensing/
https://reatapharma.com/investors-news/social-media-disclosure/,https://reatapharma.com/programs/
